prompt,actual_ans,gen_ans,prompt_ppl,accuracy
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Julius is a lion. Lily is a rhino. Bernhard is a swan. Lily is white. Bernhard is green. Greg is a rhino. Greg is gray. Julius is white. Brian is a lion.
question: What color is Brian?
answer:",white,white,3.125633716583252,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Lily is a frog. Bernhard is a lion. Brian is a frog. Bernhard is yellow. Julius is a lion. Julius is white. Greg is a swan. Greg is gray. Brian is white.
question: What color is Lily?
answer:",white,white,2.763596296310425,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Brian is a rhino. Lily is a frog. Greg is a lion. Lily is gray. Julius is a swan. Greg is yellow. Brian is green. Bernhard is a swan. Bernhard is gray.
question: What color is Julius?
answer:",gray,green,3.079343318939209,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Julius is a lion. Julius is white. Greg is a frog. Bernhard is a frog. Bernhard is green. Brian is a swan. Brian is white. Greg is green. Lily is a swan.
question: What color is Lily?
answer:",white,green,2.7319118976593018,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Greg is a rhino. Bernhard is a swan. Bernhard is yellow. Greg is white. Brian is a swan. Brian is yellow. Lily is a frog. Julius is a rhino. Lily is green.
question: What color is Julius?
answer:",white,green,2.6397194862365723,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Bernhard is a frog. Julius is a rhino. Bernhard is yellow. Julius is yellow. Brian is a lion. Brian is white. Lily is a swan. Lily is green. Greg is a rhino.
question: What color is Greg?
answer:",yellow,black,2.5981075763702393,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Brian is a swan. Greg is a swan. Greg is gray. Lily is a frog. Lily is white. Bernhard is a lion. Julius is a frog. Brian is gray. Bernhard is green.
question: What color is Julius?
answer:",white,green,3.0892207622528076,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Bernhard is a rhino. Brian is a frog. Greg is a frog. Brian is white. Greg is white. Bernhard is white. Julius is a lion. Julius is green. Lily is a rhino.
question: What color is Lily?
answer:",white,green,2.650968313217163,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Bernhard is a lion. Bernhard is yellow. Lily is a rhino. Brian is a frog. Lily is green. Greg is a frog. Brian is green. Julius is a lion. Julius is gray.
question: What color is Greg?
answer:",green,green,3.075153350830078,0.56
"context: Lily is a frog. Bernhard is a frog. Bernhard is green. Brian is a lion. Brian is white. Julius is a swan. Julius is green. Lily is green. Greg is a swan.
question: What color is Greg?
answer: green
###
context: Bernhard is a frog. Lily is a frog. Lily is gray. Bernhard is gray. Julius is a lion. Greg is a swan. Julius is yellow. Greg is white. Brian is a swan.
question: What color is Brian?
answer: white
###
context: Julius is a frog. Bernhard is a rhino. Bernhard is white. Lily is a rhino. Lily is green. Julius is gray. Greg is a rhino. Greg is yellow. Brian is a frog.
question: What color is Brian?
answer: gray
###
context: Lily is a rhino. Brian is a frog. Brian is yellow. Lily is yellow. Greg is a swan. Greg is green. Julius is a frog. Julius is green. Bernhard is a rhino.
question: What color is Bernhard?
answer: yellow
###
context: Greg is a lion. Julius is a swan. Julius is yellow. Greg is yellow. Brian is a swan. Bernhard is a frog. Brian is white. Lily is a frog. Bernhard is yellow.
question: What color is Lily?
answer: yellow
###
context: Brian is a frog. Bernhard is a frog. Julius is a frog. Bernhard is white. Greg is a frog. Brian is yellow. Greg is yellow. Lily is a rhino. Lily is gray.
question: What color is Julius?
answer:",yellow,white,2.571570634841919,0.56
