prompt,actual_ans,gen_ans,prompt_ppl,accuracy
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom.
question: Where is Daniel?
answer:",bedroom,bedroom,2.5284934043884277,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen.
question: Where is Sandra?
answer:",kitchen,kitchen,2.547999143600464,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen. Daniel travelled to the office. Sandra went back to the hallway.
question: Where is Sandra?
answer:",hallway,hallway,2.8581607341766357,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen. Daniel travelled to the office. Sandra went back to the hallway. Daniel journeyed to the hallway. Daniel went to the bathroom.
question: Where is Sandra?
answer:",hallway,hallway,2.8618545532226562,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen. Daniel travelled to the office. Sandra went back to the hallway. Daniel journeyed to the hallway. Daniel went to the bathroom. John travelled to the garden. Daniel moved to the hallway.
question: Where is Daniel?
answer:",hallway,hallway,2.738051176071167,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: John went back to the bathroom. Mary travelled to the bathroom.
question: Where is John?
answer:",bathroom,bathroom,2.2747902870178223,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: John went back to the bathroom. Mary travelled to the bathroom. Mary went to the garden. Sandra moved to the garden.
question: Where is John?
answer:",bathroom,bathroom,2.9523379802703857,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: John went back to the bathroom. Mary travelled to the bathroom. Mary went to the garden. Sandra moved to the garden. John went to the kitchen. Daniel moved to the bathroom.
question: Where is John?
answer:",kitchen,kitchen,2.932945728302002,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: John went back to the bathroom. Mary travelled to the bathroom. Mary went to the garden. Sandra moved to the garden. John went to the kitchen. Daniel moved to the bathroom. Daniel went back to the hallway. Mary went to the kitchen.
question: Where is Mary?
answer:",kitchen,kitchen,2.801081418991089,1.0
"context: John moved to the bedroom. Mary moved to the hallway.
question: Where is Mary?
answer: hallway
###
context: Daniel moved to the garden. John went to the kitchen.
question: Where is Daniel?
answer: garden
###
context: Sandra went to the hallway. Sandra journeyed to the kitchen.
question: Where is Sandra?
answer: kitchen
###
context: Sandra went to the garden. Sandra journeyed to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel went to the kitchen. Mary travelled to the hallway. Daniel went back to the garden. Mary went back to the bathroom.
question: Where is Mary?
answer: bathroom
###
context: John went back to the bathroom. Mary travelled to the bathroom. Mary went to the garden. Sandra moved to the garden. John went to the kitchen. Daniel moved to the bathroom. Daniel went back to the hallway. Mary went to the kitchen. Daniel went to the garden. Daniel travelled to the hallway.
question: Where is Daniel?
answer:",hallway,hallway,2.7306807041168213,1.0
