prompt,actual_ans,gen_ans,prompt_ppl,accuracy
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Julie went to the park this morning. Julie moved to the kitchen yesterday.
question: Where was Julie before the park?
answer:",kitchen,kitchen,3.2381532192230225,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Julie went to the park this morning. Julie moved to the kitchen yesterday. Julie moved to the bedroom this afternoon. Mary journeyed to the school yesterday.
question: Where was Julie before the bedroom?
answer:",park,kitchen,3.2344534397125244,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Julie went to the park this morning. Julie moved to the kitchen yesterday. Julie moved to the bedroom this afternoon. Mary journeyed to the school yesterday. This morning Bill moved to the park. Yesterday Bill travelled to the kitchen.
question: Where was Julie before the park?
answer:",kitchen,kitchen,4.12966775894165,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Julie went to the park this morning. Julie moved to the kitchen yesterday. Julie moved to the bedroom this afternoon. Mary journeyed to the school yesterday. This morning Bill moved to the park. Yesterday Bill travelled to the kitchen. This morning Mary moved to the office. This evening Julie journeyed to the kitchen.
question: Where was Julie before the kitchen?
answer:",bedroom,park,3.8099358081817627,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Julie went to the park this morning. Julie moved to the kitchen yesterday. Julie moved to the bedroom this afternoon. Mary journeyed to the school yesterday. This morning Bill moved to the park. Yesterday Bill travelled to the kitchen. This morning Mary moved to the office. This evening Julie journeyed to the kitchen. This afternoon Mary moved to the cinema. This afternoon Bill travelled to the kitchen.
question: Where was Bill before the kitchen?
answer:",park,park,3.7309815883636475,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Mary travelled to the cinema yesterday. Yesterday Julie travelled to the cinema. This morning Julie travelled to the bedroom. Yesterday Bill moved to the park.
question: Where was Julie before the bedroom?
answer:",cinema,cinema,3.2014222145080566,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Mary travelled to the cinema yesterday. Yesterday Julie travelled to the cinema. This morning Julie travelled to the bedroom. Yesterday Bill moved to the park. Mary moved to the school this morning. Julie moved to the kitchen this afternoon.
question: Where was Julie before the kitchen?
answer:",bedroom,bedroom,3.9193665981292725,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Mary travelled to the cinema yesterday. Yesterday Julie travelled to the cinema. This morning Julie travelled to the bedroom. Yesterday Bill moved to the park. Mary moved to the school this morning. Julie moved to the kitchen this afternoon. Julie went back to the park this evening. This morning Bill went back to the office.
question: Where was Mary before the school?
answer:",cinema,cinema,3.627363681793213,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Mary travelled to the cinema yesterday. Yesterday Julie travelled to the cinema. This morning Julie travelled to the bedroom. Yesterday Bill moved to the park. Mary moved to the school this morning. Julie moved to the kitchen this afternoon. Julie went back to the park this evening. This morning Bill went back to the office. Yesterday Fred journeyed to the cinema. Mary journeyed to the office this afternoon.
question: Where was Bill before the office?
answer:",park,park,3.459359645843506,0.78
"context: Bill went back to the cinema yesterday. Julie went to the school this morning. Fred went to the park yesterday. Yesterday Julie went to the office.
question: Where was Julie before the school?
answer: office
###
context: Fred moved to the kitchen yesterday. Mary went back to the school yesterday. Mary travelled to the park this morning. Yesterday Julie travelled to the office.
question: Where was Mary before the park?
answer: school
###
context: Yesterday Fred went back to the office. Fred travelled to the kitchen this morning. Mary travelled to the kitchen yesterday. This morning Mary moved to the office.
question: Where was Mary before the office?
answer: kitchen
###
context: This morning Fred moved to the school. Julie went back to the cinema yesterday. Mary travelled to the bedroom yesterday. Fred journeyed to the bedroom yesterday.
question: Where was Fred before the school?
answer: bedroom
###
context: This morning Julie travelled to the office. Yesterday Julie went to the park. This morning Mary travelled to the kitchen. Yesterday Mary travelled to the park.
question: Where was Julie before the office?
answer: park
###
context: Mary travelled to the cinema yesterday. Yesterday Julie travelled to the cinema. This morning Julie travelled to the bedroom. Yesterday Bill moved to the park. Mary moved to the school this morning. Julie moved to the kitchen this afternoon. Julie went back to the park this evening. This morning Bill went back to the office. Yesterday Fred journeyed to the cinema. Mary journeyed to the office this afternoon. Fred went back to the park this morning. Mary went back to the school this evening.
question: Where was Julie before the park?
answer:",kitchen,kitchen,3.451172351837158,0.78
